# uzlezz-bench v1
# scenario=burst
# loading=async
# vsync=0
# warmup_frames=300
# batch_textures=12
# batch_failed=0
# batch_from_cache=0
# batch_bytes=16838877
# batch_ms=119.166
# complete=1
# exit_during_load=0
# upload_budget_ms=4
frame,phase,frame_ms,main_load_ms
482,tail,0.7318,0.0000
483,tail,0.6798,0.0000
484,tail,0.5189,0.0000
485,tail,0.9445,0.0000
486,tail,0.5746,0.0000
487,tail,0.6392,0.0000
488,tail,0.5473,0.0000
489,tail,0.5055,0.0000
490,tail,0.5170,0.0000
491,tail,0.4947,0.0000
492,tail,0.6609,0.0000
493,tail,0.7085,0.0000
494,tail,0.7199,0.0000
495,tail,0.5363,0.0000
496,tail,0.8993,0.0000
497,tail,0.6478,0.0000
498,tail,0.5398,0.0000
499,tail,0.5067,0.0000
500,tail,0.4355,0.0000
501,tail,0.4170,0.0000
502,tail,0.4283,0.0000
503,tail,0.4534,0.0000
504,tail,0.8514,0.0000
505,tail,0.4732,0.0000
506,tail,0.4913,0.0000
507,tail,0.7044,0.0000
508,tail,0.5102,0.0000
509,tail,0.4227,0.0000
510,tail,0.4114,0.0000
511,tail,0.4122,0.0000
512,tail,0.4170,0.0000
513,tail,0.4174,0.0000
514,tail,0.4049,0.0000
515,tail,0.4045,0.0000
516,tail,0.4587,0.0000
517,tail,0.4797,0.0000
518,tail,0.4086,0.0000
519,tail,0.4075,0.0000
520,tail,0.4017,0.0000
521,tail,0.4189,0.0000
522,tail,0.4020,0.0000
523,tail,0.6430,0.0000
524,tail,0.5993,0.0000
525,tail,0.5600,0.0000
526,tail,0.4935,0.0000
527,tail,0.4351,0.0000
528,tail,0.4160,0.0000
529,tail,0.4339,0.0000
530,tail,0.4631,0.0000
531,tail,0.4332,0.0000
532,tail,0.4576,0.0000
533,tail,0.5248,0.0000
534,tail,0.4327,0.0000
535,tail,0.5957,0.0000
536,tail,1.0803,0.0000
537,tail,1.2790,0.0000
538,tail,1.5924,0.0000
539,tail,0.5906,0.0000
540,tail,0.4542,0.0000
541,tail,0.4083,0.0000
542,tail,0.4287,0.0000
543,tail,0.4096,0.0000
544,tail,0.4478,0.0000
545,tail,0.4030,0.0000
546,tail,0.3964,0.0000
547,tail,0.4103,0.0000
548,tail,0.4306,0.0000
549,tail,0.6003,0.0000
550,tail,0.6643,0.0000
551,tail,0.6906,0.0000
552,tail,0.5422,0.0000
553,tail,0.6233,0.0000
554,tail,0.6981,0.0000
555,tail,0.4566,0.0000
556,tail,0.5996,0.0000
557,tail,0.4177,0.0000
558,tail,0.4915,0.0000
559,tail,0.4062,0.0000
560,tail,0.4465,0.0000
561,tail,0.4297,0.0000
562,tail,0.4074,0.0000
563,tail,0.4299,0.0000
564,tail,0.5150,0.0000
565,tail,0.5134,0.0000
566,tail,0.4974,0.0000
567,tail,0.5346,0.0000
568,tail,0.8062,0.0000
569,tail,0.4909,0.0000
570,tail,0.4229,0.0000
571,tail,0.4288,0.0000
572,tail,0.4069,0.0000
573,tail,0.4091,0.0000
574,tail,0.3970,0.0000
575,tail,0.3993,0.0000
576,tail,0.4367,0.0000
577,tail,0.4165,0.0000
578,tail,0.5061,0.0000
579,tail,0.5937,0.0000
580,tail,0.5431,0.0000
581,tail,0.4854,0.0000
582,tail,0.4088,0.0000
583,tail,0.4667,0.0000
584,tail,0.5987,0.0000
585,tail,0.5399,0.0000
586,tail,0.4450,0.0000
587,tail,0.6128,0.0000
588,tail,0.5183,0.0000
589,tail,0.4719,0.0000
590,tail,0.5392,0.0000
591,tail,0.4495,0.0000
592,tail,0.4063,0.0000
593,tail,0.5499,0.0000
594,tail,0.5128,0.0000
595,tail,1.1392,0.0000
596,tail,0.6846,0.0000
597,tail,0.5928,0.0000
598,tail,0.5313,0.0000
599,tail,0.4848,0.0000
600,tail,0.5570,0.0000
601,tail,0.6906,0.0000
602,tail,0.6139,0.0000
603,tail,0.5048,0.0000
604,tail,0.7990,0.0000
605,tail,0.4956,0.0000
606,tail,0.7255,0.0000
607,tail,0.6347,0.0000
608,tail,0.5283,0.0000
609,tail,0.9811,0.0000
610,tail,0.4507,0.0000
611,tail,0.7973,0.0000
612,tail,0.4283,0.0000
613,tail,0.5926,0.0000
614,tail,0.4864,0.0000
615,tail,0.5813,0.0000
616,tail,0.5550,0.0000
617,tail,0.7873,0.0000
618,tail,0.4415,0.0000
619,tail,0.5095,0.0000
620,tail,0.4935,0.0000
621,tail,0.5619,0.0000
622,tail,0.7198,0.0000
623,tail,0.5331,0.0000
624,tail,1.3429,0.0000
625,tail,0.4457,0.0000
626,tail,0.4360,0.0000
627,tail,0.4094,0.0000
628,tail,0.4076,0.0000
629,tail,0.4336,0.0000
630,tail,0.4061,0.0000
631,tail,0.4044,0.0000
632,tail,0.4006,0.0000
633,tail,0.4106,0.0000
634,tail,0.5431,0.0000
635,tail,0.5071,0.0000
636,tail,0.5059,0.0000
637,tail,0.6018,0.0000
638,tail,0.6471,0.0000
639,tail,0.5453,0.0000
640,tail,0.5356,0.0000
641,tail,0.4761,0.0000
642,tail,0.7704,0.0000
643,tail,0.8163,0.0000
644,tail,0.4217,0.0000
645,tail,0.4154,0.0000
646,tail,0.4765,0.0000
647,tail,0.4928,0.0000
648,tail,0.4319,0.0000
649,tail,0.5230,0.0000
650,tail,0.5207,0.0000
651,tail,0.4161,0.0000
652,tail,0.4034,0.0000
653,tail,0.4134,0.0000
654,tail,0.4024,0.0000
655,tail,0.5442,0.0000
656,tail,0.6203,0.0000
657,tail,0.4550,0.0000
658,tail,0.4275,0.0000
659,tail,0.4073,0.0000
660,tail,0.4467,0.0000
661,tail,0.5021,0.0000
662,tail,0.4182,0.0000
663,tail,0.4489,0.0000
664,tail,0.4322,0.0000
665,tail,0.6833,0.0000
666,tail,0.8376,0.0000
667,tail,0.5259,0.0000
668,tail,0.4128,0.0000
669,tail,0.4447,0.0000
670,tail,0.4175,0.0000
671,tail,0.4078,0.0000
672,tail,0.4079,0.0000
673,tail,0.4812,0.0000
674,tail,0.4578,0.0000
675,tail,0.4071,0.0000
676,tail,0.6565,0.0000
677,tail,0.4431,0.0000
678,tail,0.9155,0.0000
679,tail,0.4177,0.0000
680,tail,0.4073,0.0000
681,tail,0.4091,0.0000
682,tail,0.4068,0.0000
683,tail,0.4044,0.0000
684,tail,0.4022,0.0000
685,tail,0.3999,0.0000
686,tail,0.9331,0.0000
687,tail,1.1318,0.0000
688,tail,0.6546,0.0000
689,tail,0.4752,0.0000
690,tail,0.7486,0.0000
691,tail,0.6039,0.0000
692,tail,0.5267,0.0000
693,tail,0.9443,0.0000
694,tail,0.4896,0.0000
695,tail,0.6584,0.0000
696,tail,0.6991,0.0000
697,tail,0.4643,0.0000
698,tail,0.4740,0.0000
699,tail,0.6264,0.0000
700,tail,0.5165,0.0000
701,tail,0.7466,0.0000
702,tail,0.7196,0.0000
703,tail,0.5453,0.0000
704,tail,0.5516,0.0000
705,tail,0.5763,0.0000
706,tail,1.2861,0.0000
707,tail,0.5574,0.0000
708,tail,0.5170,0.0000
709,tail,0.5097,0.0000
710,tail,0.5127,0.0000
711,tail,0.4245,0.0000
712,tail,0.5605,0.0000
713,tail,0.6686,0.0000
714,tail,0.4792,0.0000
715,tail,0.5409,0.0000
716,tail,0.4556,0.0000
717,tail,0.6446,0.0000
718,tail,0.6379,0.0000
719,tail,0.5456,0.0000
